id,series,date,category,area,lat,lon,depth_m,src
4,NW-P-1064-08,2008-07-22,Sandspit or Sandbar Change,Fraser River,49.19403,-122.66864,,json
16,NW-P-0549-13,2013-05-10,Submerged Object,Sechelt Inlet - Jervis Inlet,49.51204,-123.79009,,json
28,NW-P-0464-14,2014-03-24,Submerged Object,Fraser River,49.18056,-122.92472,,json
250,NW-P-0578-18,2018-05-01,Aids to Navigation (Other) Aids Gayward Rock LL 81,West Coast Vancouver Island North,50.02092,-127.39098,,json
280,NW-P-0623-18,2018-05-10,Aids to Navigation (Other) Aids Mist Rock LL 74.5,West Coast Vancouver Island North,50.42969,-127.50102,,json
286,NW-P-0627-18,2018-05-11,Aids to Navigation (Other) Aids McNiffe Rock LL 73.4,West Coast Vancouver Island North,50.52144,-127.61244,,json
544,NW-P-1448-18,2018-11-07,Buoys Aids Wilson Rock buoy E77,North Coast,52.67333,-128.97833,,desc
670,NW-P-0024-19,2019-01-05,Lights Aids Davey Rock light buoy N32 LL 569.2,Queen Charlotte Strait,50.86008,-127.51936,,json
676,NW-P-0029-19,2019-01-05,Lights Aids Rock Point LL 519,Johnstone Strait,50.34119,-125.50164,,json
686,NW-P-0038-19,2019-01-07,Buoys Aids Rosedale Rock light buoy V15 (2.9m) V15 LL189.1,Juan de Fuca Strait,48.29064,-123.52603,,json
701,NW-P-0043-19,2019-01-08,Lights Aids Rock Point LL519,Johnstone Strait,50.34119,-125.50164,,json
707,NW-P-0044-19,2019-01-08,Lights Aids Rock Point LL519,Johnstone Strait,50.34119,-125.50164,,json
784,NW-C-0799-18,2018-05-16,Lights Aids Gull Rock Shore Light - LL 1380,Muskoka Lakes Vicinity Lake Muskoka,44.99944,-79.43806,,json
817,NW-C-3042-18,2018-12-09,Lights Aids Granite State Shoal Light 214 (US) LL 364.32,Kingston to Cornwall Vicinity Wellesley Island,44.28353,-76.01622,,json
865,NW-C-0726-15,2015-05-16,Shoal,Trent-Severn Waterway Vicinity Otonabee River,44.36286,-78.29036,,json
880,NW-C-1682-16,2016-08-08,Shallow Depth Reported,Lake Superior Vicinity Port of Thunder Bay,48.43203,-89.19572,3.0,json
901,NW-C-0345-17,2017-03-26,Shallow Depth Reported,Lake Huron Vicinity Bayfield,43.56973,-81.70967,1.2,json
916,NW-C-1219-17,2017-06-08,Shallow Depth Reported,Detroit River,42.36555,-82.90417,7.8,json
946,NW-C-2834-17,2017-11-10,Shallow Depth Reported,Lake Ontario Vicinity Cobourg,43.95238,-78.1654,3.3,desc
946,NW-C-2834-17,2017-11-10,Shallow Depth Reported,Lake Ontario Vicinity Cobourg,43.95324,-78.16532,4.3,desc
946,NW-C-2834-17,2017-11-10,Shallow Depth Reported,Lake Ontario Vicinity Cobourg,43.95395,-78.16551,4.3,desc
949,NW-C-2914-17,2017-11-22,Shallow Depth Reported,Lake Ontario Vicinity Pickering / Ajax,43.79301,-79.06153,8.4,desc
949,NW-C-2914-17,2017-11-22,Shallow Depth Reported,Lake Ontario Vicinity Pickering / Ajax,43.80979,-79.0121,8.1,desc
952,NW-C-2915-17,2017-11-23,Shallow Depth Reported,Lake Ontario Vicinity Scarborough Bluffs,43.72299,-79.19791,5.8,desc
952,NW-C-2915-17,2017-11-23,Shallow Depth Reported,Lake Ontario Vicinity Scarborough Bluffs,43.68932,-79.23767,8.2,desc
952,NW-C-2915-17,2017-11-23,Shallow Depth Reported,Lake Ontario Vicinity Scarborough Bluffs,43.67115,-79.26046,8.6,desc
