id,series,date,category,area,lat,lon,depth_m,src
2578,NW-M-2492-15,2015-12-09,Shallow Depth Reported,Lurcher,43.7165,-66.0749,,json
7456,NW-A-0149-18,2018-09-26,Shallow Depth Reported,Ungava,58.96213,-66.42973,15.7,desc
7456,NW-A-0149-18,2018-09-26,Shallow Depth Reported,Ungava,58.97532,-67.06443,42.0,desc
7456,NW-A-0149-18,2018-09-26,Shallow Depth Reported,Ungava,58.97815,-67.31708,45.0,desc
7477,NW-A-0166-18,2018-10-06,Shoal,Shipping Safety Control Zone 15 Vicinity Forbes Sound,60.3811,-64.81998,6.4,desc
7477,NW-A-0166-18,2018-10-06,Shoal,Shipping Safety Control Zone 15 Vicinity Forbes Sound,60.38052,-64.82937,17.8,desc
7489,NW-A-0181-18,2018-10-14,Shoal,Shipping Safety Control Zone 15 Vicinity Negus Bay,64.27032,-76.33585,5.4864,desc
7489,NW-A-0181-18,2018-10-14,Shoal,Shipping Safety Control Zone 15 Vicinity Negus Bay,64.2623,-76.35283,2.4384,desc
7489,NW-A-0181-18,2018-10-14,Shoal,Shipping Safety Control Zone 15 Vicinity Negus Bay,64.26242,-76.34732,8.2296,desc
7489,NW-A-0181-18,2018-10-14,Shoal,Shipping Safety Control Zone 15 Vicinity Negus Bay,64.24677,-76.37427,9.144,desc
7489,NW-A-0181-18,2018-10-14,Shoal,Shipping Safety Control Zone 15 Vicinity Negus Bay,64.2391,-76.3784,21.640800000000002,desc
25276,NW-M-1673-19,2019-08-19,Shallow Depth Reported,"Cabot Strait - south Vicinity Mira Gut, N.S.",46.03582,-59.96774,,json
29464,NW-A-0183-19,2019-09-29,Shoal,Shipping Safety Control Zone 15,63.43333,-72.3,,desc
29467,NW-A-0184-19,2019-09-29,Shoal,Shipping Safety Control Zone 15,63.425,-72.21667,,desc
29470,NW-A-0185-19,2019-09-29,Shoal,Shipping Safety Control Zone 15,63.5,-72.2,,desc
29476,NW-A-0186-19,2019-09-29,Shoal,Shipping Safety Control Zone 15,63.61667,-72.125,,desc
29482,NW-A-0187-19,2019-09-29,Shoal,Shipping Safety Control Zone 15,63.63833,-72.18333,,desc
38488,NW-M-0071-20,2020-01-16,Shallow Depth Reported,Southwestern Shore Vicinity Pollock Point,44.14151,-64.48832,,json
38551,NW-M-0076-20,2020-01-17,Shallow Depth Reported,Southwestern Shore,44.11797,-64.54557,,json
38554,NW-M-0077-20,2020-01-17,Shallow Depth Reported,Southwestern Shore,44.1443,-64.6039,,json
38572,NW-M-0079-20,2020-01-17,Shallow Depth Reported,Southwestern Shore,44.01873,-64.65942,,json
41623,NW-M-0349-20,2020-03-12,Shallow Depth Reported,"Gulf - Magdalen - south Vicinity North Rustico, PEI",46.43233,-63.23517,,desc
41623,NW-M-0349-20,2020-03-12,Shallow Depth Reported,"Gulf - Magdalen - south Vicinity North Rustico, PEI",46.42983,-63.254,,desc
41623,NW-M-0349-20,2020-03-12,Shallow Depth Reported,"Gulf - Magdalen - south Vicinity North Rustico, PEI",46.43083,-63.25683,,desc
41623,NW-M-0349-20,2020-03-12,Shallow Depth Reported,"Gulf - Magdalen - south Vicinity North Rustico, PEI",46.43333,-63.26567,,desc
41623,NW-M-0349-20,2020-03-12,Shallow Depth Reported,"Gulf - Magdalen - south Vicinity North Rustico, PEI",46.44667,-63.305,,desc
41623,NW-M-0349-20,2020-03-12,Shallow Depth Reported,"Gulf - Magdalen - south Vicinity North Rustico, PEI",46.45,-63.30317,,desc
41623,NW-M-0349-20,2020-03-12,Shallow Depth Reported,"Gulf - Magdalen - south Vicinity North Rustico, PEI",46.45467,-63.28983,,desc
41623,NW-M-0349-20,2020-03-12,Shallow Depth Reported,"Gulf - Magdalen - south Vicinity North Rustico, PEI",46.4565,-63.28933,,desc
41623,NW-M-0349-20,2020-03-12,Shallow Depth Reported,"Gulf - Magdalen - south Vicinity North Rustico, PEI",46.4565,-63.28833,,desc
51772,NW-A-0035-20,2020-07-10,Shallow Depth Reported,Shipping Safety Control Zone 14,62.38233,-78.23367,43.8912,desc
51772,NW-A-0035-20,2020-07-10,Shallow Depth Reported,Shipping Safety Control Zone 14,62.3795,-78.25817,45.72,desc
52249,NW-N-0828-20,2020-07-15,Submerged Object,Northeast Coast,49.73355,-54.16538,,desc
73447,NW-M-0481-21,2021-04-13,Shallow Depth Reported,"Northumberland Strait Vicinity Saint-Édouard, N.B.",46.54048,-64.69863,1.46,json
73450,NW-M-0482-21,2021-04-13,Shallow Depth Reported,"Northumberland Strait Vicinity Cap Lumière, N.B.",46.67313,-64.71035,,json
75443,NW-P-0619-21,2021-05-05,Submerged Object,Fraser River Vancouver Harbour,49.27417,-123.10383,,desc
97718,NW-P-0101-22,2022-01-18,Submerged Object,BC Inland Waterways and Lakes,49.58,-117.21528,,desc
108670,NW-H-0068-22,2022-06-14,Obstruction (Other) Submerged Object,Great Slave Lake Vicinity Back Bay,62.48185,-114.34335,,desc
115214,NW-P-1035-22,2022-08-15,Submerged Object,Strait of Georgia,49.07082,-123.68547,,desc
116795,NW-P-1168-22,2022-09-04,Submerged Object,Strait of Georgia,49.46402,-123.78535,,desc
117637,NW-M-1650-22,2022-09-14,Submerged Object,Chaleur - Miscou - south Vicinity Northwest Miramichi River,46.94498,-65.82042,,json
121093,NW-A-0156-22,2022-10-18,Submerged Object,Arctic Vicinity Chesterfield Narrows,63.99333,-94.315,4.8,json
122152,NW-A-0170-22,2022-10-28,Shallow Depth Reported,Belcher,57.48627,-76.92218,19.1,json
138940,NW-M-0811-23,2023-06-22,Shoal,Chaleur - Miscou - south Vicinity Escuminac Harbour,47.08142,-64.88675,,desc
138940,NW-M-0811-23,2023-06-22,Shoal,Chaleur - Miscou - south Vicinity Escuminac Harbour,47.08265,-64.8879,,desc
138940,NW-M-0811-23,2023-06-22,Shoal,Chaleur - Miscou - south Vicinity Escuminac Harbour,47.08283,-64.88702,,desc
139516,NW-N-0796-23,2023-06-28,Sandspit or Sandbar Change,Southwest Coast,47.4466,-55.55201,,json
139619,NW-P-0832-23,2023-06-29,Submerged Object,Douglas Channel & Gardner Canal,53.99388,-128.68667,,desc
139741,NW-C-1108-23,2023-06-30,RACON Aids Southeast Shoal light LL 597,Lake Erie Vicinity Point Pelee,41.82634,-82.46279,,json
140527,NW-A-0045-23,2023-07-07,Submerged Object,Great Slave Lake Vicinity Mosher Island,62.44212,-114.34492,,json
140695,NW-M-0914-23,2023-07-10,Submerged Object,Fundy Vicinity Walton River,45.23235,-64.01761,,json
141616,NW-P-0924-23,2023-07-19,Submerged Object,West Coast Vancouver Island South,49.12742,-125.8315,,desc
143977,NW-C-1516-23,2023-08-11,Shallow Depth Reported,Welland Canal Vicinity Thorold,43.11188,-79.19795,,desc
143977,NW-C-1516-23,2023-08-11,Shallow Depth Reported,Welland Canal Vicinity Thorold,43.11293,-79.19758,,desc
143977,NW-C-1516-23,2023-08-11,Shallow Depth Reported,Welland Canal Vicinity Thorold,43.11292,-79.19753,,desc
143977,NW-C-1516-23,2023-08-11,Shallow Depth Reported,Welland Canal Vicinity Thorold,43.1121,-79.19773,7.8,desc
144127,NW-M-1110-23,2023-08-12,Submerged Object,Halifax Harbour and Approaches Vicinity Halifax Harbour,44.62768,-63.54958,,desc
145951,NW-M-1272-23,2023-08-31,Submerged Object,Northumberland Strait Vicinity Rocky Point,46.20667,-63.13833,,desc
156182,NW-M-0101-24,2024-01-22,Shoal,Eastern Shore,45.2732,-60.9048,,desc
156275,NW-N-0048-24,2024-01-24,Shallow Depth Reported,South Coast Vicinity St. Lawrence Harbour,46.90915,-55.38487,,desc
156275,NW-N-0048-24,2024-01-24,Shallow Depth Reported,South Coast Vicinity St. Lawrence Harbour,46.90688,-55.38342,,desc
156275,NW-N-0048-24,2024-01-24,Shallow Depth Reported,South Coast Vicinity St. Lawrence Harbour,46.91715,-55.3904,,desc
156275,NW-N-0048-24,2024-01-24,Shallow Depth Reported,South Coast Vicinity St. Lawrence Harbour,46.90805,-55.38407,,desc
156275,NW-N-0048-24,2024-01-24,Shallow Depth Reported,South Coast Vicinity St. Lawrence Harbour,46.90228,-55.37002,,desc
156652,NW-M-0126-24,2024-01-27,Shallow Depth Reported,Eastern Shore Fourchu,45.32497,-60.9362,8.4,desc
156652,NW-M-0126-24,2024-01-27,Shallow Depth Reported,Eastern Shore Fourchu,45.21403,-61.02803,19.3,desc
157332,NW-A-0008-24,2024-02-13,Shoal,Shipping Safety Control Zone 10 Vicinity Pangnirtung,66.15218,-65.71183,0.6,json
157337,NW-M-0247-24,2024-02-14,Shallow Depth Reported,Eastern Shore,45.19047,-61.15713,,desc
157337,NW-M-0247-24,2024-02-14,Shallow Depth Reported,Eastern Shore,45.2053,-61.15977,,desc
157553,NW-M-0280-24,2024-02-27,Shallow Depth Reported,Fourchu,45.35987,-61.14667,6.9,desc
157553,NW-M-0280-24,2024-02-27,Shallow Depth Reported,Fourchu,45.35905,-61.13987,6.1,desc
157622,NW-M-0290-24,2024-02-29,Shallow Depth Reported,Fourchu,45.35348,-61.25693,6.2,desc
157622,NW-M-0290-24,2024-02-29,Shallow Depth Reported,Fourchu,45.35625,-61.1882,7.4,desc
157622,NW-M-0290-24,2024-02-29,Shallow Depth Reported,Fourchu,45.35142,-61.27087,12.6,desc
157741,NW-M-0313-24,2024-03-08,Shallow Depth Reported,Fourchu,45.42972,-60.99645,,desc
157741,NW-M-0313-24,2024-03-08,Shallow Depth Reported,Fourchu,45.42972,-60.99645,,desc
157784,NW-M-0317-24,2024-03-11,Shallow Depth Reported,Fourchu,45.42822,-61.05403,,desc
157784,NW-M-0317-24,2024-03-11,Shallow Depth Reported,Fourchu,45.4352,-61.0425,,desc
157784,NW-M-0317-24,2024-03-11,Shallow Depth Reported,Fourchu,45.43445,-61.01418,,desc
157784,NW-M-0317-24,2024-03-11,Shallow Depth Reported,Fourchu,45.42558,-61.05485,,desc
157784,NW-M-0317-24,2024-03-11,Shallow Depth Reported,Fourchu,45.42797,-61.02018,,desc
157856,NW-M-0338-24,2024-03-14,Shallow Depth Reported,"Fourchu Vicinity Canso, NS",45.43955,-61.00337,,desc
157856,NW-M-0338-24,2024-03-14,Shallow Depth Reported,"Fourchu Vicinity Canso, NS",45.43233,-60.99623,,desc
157856,NW-M-0338-24,2024-03-14,Shallow Depth Reported,"Fourchu Vicinity Canso, NS",45.43867,-60.98245,,desc
157857,NW-M-0339-24,2024-03-14,Shallow Depth Reported,"Fourchu Vicinity Canso, NS",45.339,-60.88773,,desc
157857,NW-M-0339-24,2024-03-14,Shallow Depth Reported,"Fourchu Vicinity Canso, NS",45.33867,-60.89242,,desc
157857,NW-M-0339-24,2024-03-14,Shallow Depth Reported,"Fourchu Vicinity Canso, NS",45.33582,-60.91348,,desc
157857,NW-M-0339-24,2024-03-14,Shallow Depth Reported,"Fourchu Vicinity Canso, NS",45.34212,-60.87822,,desc
157857,NW-M-0339-24,2024-03-14,Shallow Depth Reported,"Fourchu Vicinity Canso, NS",45.34435,-60.87097,,desc
157857,NW-M-0339-24,2024-03-14,Shallow Depth Reported,"Fourchu Vicinity Canso, NS",45.3377,-60.89303,,desc
157857,NW-M-0339-24,2024-03-14,Shallow Depth Reported,"Fourchu Vicinity Canso, NS",45.33622,-60.90872,,desc
157908,NW-M-0356-24,2024-03-16,Shallow Depth Reported,"Fourchu Vicinity Canso, NS",45.3513,-60.8804,,desc
157908,NW-M-0356-24,2024-03-16,Shallow Depth Reported,"Fourchu Vicinity Canso, NS",45.34155,-60.88467,,desc
157908,NW-M-0356-24,2024-03-16,Shallow Depth Reported,"Fourchu Vicinity Canso, NS",45.35172,-60.88878,,desc
157908,NW-M-0356-24,2024-03-16,Shallow Depth Reported,"Fourchu Vicinity Canso, NS",45.34518,-60.8819,,desc
157908,NW-M-0356-24,2024-03-16,Shallow Depth Reported,"Fourchu Vicinity Canso, NS",45.3433,-60.88567,,desc
157908,NW-M-0356-24,2024-03-16,Shallow Depth Reported,"Fourchu Vicinity Canso, NS",45.34122,-60.89175,,desc
157908,NW-M-0356-24,2024-03-16,Shallow Depth Reported,"Fourchu Vicinity Canso, NS",45.34025,-60.89403,,desc
157908,NW-M-0356-24,2024-03-16,Shallow Depth Reported,"Fourchu Vicinity Canso, NS",45.35143,-60.87507,,desc
157909,NW-M-0355-24,2024-03-16,Shallow Depth Reported,Fourchu,45.42488,-61.10992,,desc
157917,NW-M-0361-24,2024-03-17,Shallow Depth Reported,Fourchu,45.3341,-60.91962,,desc
157917,NW-M-0361-24,2024-03-17,Shallow Depth Reported,Fourchu,45.3371,-60.86885,,desc
157917,NW-M-0361-24,2024-03-17,Shallow Depth Reported,Fourchu,45.33293,-60.9061,,desc
158112,NW-M-0425-24,2024-03-28,Shallow Depth Reported,Fourchu,45.46475,-61.16773,,desc
158296,NW-M-0462-24,2024-04-07,Shoal,Fourchu,45.42238,-61.2638,,desc
158317,NW-M-0465-24,2024-04-08,Shoal,Fourchu Vicinity Chedabucto Bay,45.46542,-61.08752,,desc
158444,NW-M-0485-24,2024-04-12,Shallow Depth Reported,Fourchu,45.4285,-61.265,,desc
158469,NW-M-0492-24,2024-04-13,Shallow Depth Reported,Fourchu,45.42683,-61.28617,,desc
158684,NW-M-0546-24,2024-04-20,Shallow Depth Reported,Fourchu Vicinity Isle Madame,45.47965,-60.86935,,desc
158684,NW-M-0546-24,2024-04-20,Shallow Depth Reported,Fourchu Vicinity Isle Madame,45.4778,-60.86833,,desc
158684,NW-M-0546-24,2024-04-20,Shallow Depth Reported,Fourchu Vicinity Isle Madame,45.4813,-60.89827,,desc
158684,NW-M-0546-24,2024-04-20,Shallow Depth Reported,Fourchu Vicinity Isle Madame,45.47712,-60.88923,,desc
158684,NW-M-0546-24,2024-04-20,Shallow Depth Reported,Fourchu Vicinity Isle Madame,45.4748,-60.9089,,desc
158684,NW-M-0546-24,2024-04-20,Shallow Depth Reported,Fourchu Vicinity Isle Madame,45.46557,-61.03058,,desc
158684,NW-M-0546-24,2024-04-20,Shallow Depth Reported,Fourchu Vicinity Isle Madame,45.46542,-61.0435,,desc
159075,NW-C-0776-24,2024-05-02,Submerged Object,Lake Superior Vicinity Thunder Bay,48.39378,-89.21577,,json
160005,NW-M-0795-24,2024-05-28,Shallow Depth Reported,Fourchu,45.90342,-59.9706,,json
161081,NW-M-1027-24,2024-06-26,Submerged Object,Northumberland Strait Vicinity Munns Point,46.26347,-63.06175,,desc
162341,NW-M-1283-24,2024-07-30,Shallow Depth Reported,Eastern Shore Vicinity Wedge Island,45.00267,-61.89537,7.8,desc
162341,NW-M-1283-24,2024-07-30,Shallow Depth Reported,Eastern Shore Vicinity Wedge Island,45.00268,-61.88167,8.4,desc
162341,NW-M-1283-24,2024-07-30,Shallow Depth Reported,Eastern Shore Vicinity Wedge Island,45.00907,-61.89238,,desc
162622,NW-M-1363-24,2024-08-07,Shallow Depth Reported,Chaleur - Miscou - south,47.71127,-64.66138,,desc
162622,NW-M-1363-24,2024-08-07,Shallow Depth Reported,Chaleur - Miscou - south,47.71258,-64.66237,,desc
162622,NW-M-1363-24,2024-08-07,Shallow Depth Reported,Chaleur - Miscou - south,47.71587,-64.663,,desc
162624,NW-M-1364-24,2024-08-07,Shallow Depth Reported,Chaleur - Miscou - south,47.715,-64.66272,,desc
162624,NW-M-1364-24,2024-08-07,Shallow Depth Reported,Chaleur - Miscou - south,47.71507,-64.66243,,desc
162624,NW-M-1364-24,2024-08-07,Shallow Depth Reported,Chaleur - Miscou - south,47.71492,-64.66218,,desc
162624,NW-M-1364-24,2024-08-07,Shallow Depth Reported,Chaleur - Miscou - south,47.71413,-64.66255,1.2,desc
162634,NW-M-1366-24,2024-08-07,Shallow Depth Reported,Eastern Shore,45.15513,-61.4373,,desc
162634,NW-M-1366-24,2024-08-07,Shallow Depth Reported,Eastern Shore,45.12523,-61.50225,,desc
162634,NW-M-1366-24,2024-08-07,Shallow Depth Reported,Eastern Shore,45.15785,-61.43947,,desc
162971,NW-M-1497-24,2024-08-15,Shallow Depth Reported,Eastern Shore,45.1445,-61.46578,,desc
162971,NW-M-1497-24,2024-08-15,Shallow Depth Reported,Eastern Shore,45.09393,-61.53197,,desc
162971,NW-M-1497-24,2024-08-15,Shallow Depth Reported,Eastern Shore,45.0955,-61.55058,,desc
162971,NW-M-1497-24,2024-08-15,Shallow Depth Reported,Eastern Shore,45.09822,-61.54805,,desc
162971,NW-M-1497-24,2024-08-15,Shallow Depth Reported,Eastern Shore,45.09975,-61.5508,,desc
162971,NW-M-1497-24,2024-08-15,Shallow Depth Reported,Eastern Shore,45.10148,-61.55668,,desc
162971,NW-M-1497-24,2024-08-15,Shallow Depth Reported,Eastern Shore,45.09205,-61.54428,,desc
162971,NW-M-1497-24,2024-08-15,Shallow Depth Reported,Eastern Shore,45.11178,-61.50058,,desc
162971,NW-M-1497-24,2024-08-15,Shallow Depth Reported,Eastern Shore,45.07662,-61.54772,,desc
162971,NW-M-1497-24,2024-08-15,Shallow Depth Reported,Eastern Shore,45.0801,-61.55555,,desc
162971,NW-M-1497-24,2024-08-15,Shallow Depth Reported,Eastern Shore,45.10427,-61.58,,desc
162971,NW-M-1497-24,2024-08-15,Shallow Depth Reported,Eastern Shore,45.09977,-61.57442,,desc
163019,NW-M-1521-24,2024-08-16,Shallow Depth Reported,Eastern Shore Vicinity Country Harbour,45.0902,-61.54978,16.9,desc
163019,NW-M-1521-24,2024-08-16,Shallow Depth Reported,Eastern Shore Vicinity Country Harbour,45.10273,-61.50752,19.8,desc
163019,NW-M-1521-24,2024-08-16,Shallow Depth Reported,Eastern Shore Vicinity Country Harbour,45.10635,-61.51803,12.0,desc
163765,NW-P-1411-24,2024-09-03,Submerged Object,Fraser River,49.24908,-122.72605,,desc
164585,NW-M-1960-24,2024-09-26,Shallow Depth Reported,"Fourchu Vicinity Louisbourg, NS",45.89827,-59.95773,,desc
164585,NW-M-1960-24,2024-09-26,Shallow Depth Reported,"Fourchu Vicinity Louisbourg, NS",45.89783,-59.96482,,desc
164585,NW-M-1960-24,2024-09-26,Shallow Depth Reported,"Fourchu Vicinity Louisbourg, NS",45.89505,-59.95812,,desc
