id,series,date,title,area,category,n_coords,lon,lat,depth_triples,description
2578,NW-M-2492-15,2015-12-09,Shallower waters than advertised - Harbour entrance to Pinkneys Point,Lurcher,Shallow Depth Reported,1,-66.0749,43.7165,[],Shallower waters than advertised have been reported in the harbour entrance to Pinkneys Point. Caution.
7456,NW-A-0149-18,2018-09-26,Waterway information,Ungava,Shallow Depth Reported,3,-66.42973333333333,58.962133333333334,"[[58.962133333333334, -66.42973333333333, 15.7], [58.975316666666664, -67.06443333333333, 42.0], [58.97815, -67.31708333333333, 45.0]]","Shallower depths located at: 58 57.728N 066 25.784W, 15.7 metres, chart 5373 58 58.519N 067 03.866W, 42 metres, chart 5374 58 58.689N 067 19.025W, 45 metres, chart 5375 Depths are reduced to CHS Chart Datum and horizontal positions are based on NAD83."
7477,NW-A-0166-18,2018-10-06,Waterway information,Shipping Safety Control Zone 15 Vicinity Forbes Sound,Shoal,2,-64.81998333333334,60.3811,"[[60.3811, -64.81998333333334, 6.4], [60.380516666666665, -64.82936666666667, 17.8]]","Shoals located at: 60 22.866N 064 49.199W, 6.4 metres 60 22.831N 064 49.762W, 17.8 metres"
7489,NW-A-0181-18,2018-10-14,Waterway information,Shipping Safety Control Zone 15 Vicinity Negus Bay,Shoal,5,-76.33585,64.27031666666667,[],"Shoals located at: 64 16.219N, 076 20.151W, 3 fathoms 64 15.738N, 076 21.170W, 1 fathom, 2 feet 64 15.745N, 076 20.839W, 4 fathoms, 3 feet 64 14.806N, 076 22.456W, 5 fathoms, 1 foot 64 14.346N, 076 22.704W, 11 fathoms, 5 feet"
25276,NW-M-1673-19,2019-08-19,Waterway information Cancels NW-M-1661-19,"Cabot Strait - south Vicinity Mira Gut, N.S.",Shallow Depth Reported,1,-59.96773791312758,46.035819675864,[],"Mira Gut channel may be impassible at low tide, due to inadequate water depths."
29464,NW-A-0183-19,2019-09-29,Waterway information,Shipping Safety Control Zone 15,Shoal,1,-72.3,63.43333333333333,[],The Canadian Hydrographic Service has found the following shoal depth on the approaches to Markham Bay: 19 fathoms at 63 26N 072 18W. Please note that chart 5450 is on an unknown datum. The position of this Navigational Warning has been scaled to agree with chart 5450.
29467,NW-A-0184-19,2019-09-29,Waterway information,Shipping Safety Control Zone 15,Shoal,1,-72.21666666666667,63.425,[],The Canadian Hydrographic Service has found an uncharted islet on the approaches to Markham Bay at position 63 25.5N 072 13.0W. Please note that chart 5450 is on an unknown datum. The position of this Navigational Warning has been scaled to agree with chart 5450.
29470,NW-A-0185-19,2019-09-29,Waterway information,Shipping Safety Control Zone 15,Shoal,1,-72.2,63.5,[],"The Canadian Hydrographic Service has found an uncharted islet on the approaches to Markham Bay at position 63 30N, 072 12W. Please note that chart 5450 is on an unknown datum. The position of this Navigational Warning has been scaled to agree with chart 5450."
29476,NW-A-0186-19,2019-09-29,Waterway information,Shipping Safety Control Zone 15,Shoal,1,-72.125,63.61666666666667,[],The Canadian Hydrographic Service has found an uncharted islet on the approaches to Aberdeen Bay at position 63 37.0N 072 07.5w. Please note that chart 5450 is on an unknown datum. The position of this Navigational Warning has been scaled to agree with chart 5450.
29482,NW-A-0187-19,2019-09-29,Waterway information,Shipping Safety Control Zone 15,Shoal,1,-72.18333333333334,63.638333333333335,[],The Canadian Hydrographic Service has found an uncharted islet on the approaches to Aberdeen Bay at position 63 38.3N 072 11.0w. Please note that chart 5450 is on an unknown datum. The position of this Navigational Warning has been scaled to agree with chart 5450.
