id,series,date,category,area,lat,lon,depth_m,src,block,hazard_p,hazard_p_500m,shoal_model_m,complete_m,nearest_sounding_km,nearest_sounding_m,survey_year_500m,in_domain,map_safe,pct_hazard,pct_nearest,pct_sigma,n_safe_cells
2578,NW-M-2492-15,2015-12-09,Shallow Depth Reported,Lurcher,43.7165,-66.0749,,json,b0047_0041.npz,1.0,1.0,0.9,-7.0,0.0,-7.0,0,True,False,100.0,100.0,0.0,65803
38572,NW-M-0079-20,2020-01-17,Shallow Depth Reported,Southwestern Shore,44.01873,-64.65942,,json,b0047_0041.npz,1.0,1.0,11.4,2.0,0.0,2.0,1953,True,False,100.0,100.0,0.0,12625
173540,NW-M-1228-25,2025-08-18,Shallow Depth Reported,Grand Manan Vicinity Letete Passage,45.02057,-66.91423,,desc,b0047_0041.npz,1.0,1.0,3.6,-7.9,0.0,-7.9,1986,True,False,99.5,100.0,0.0,59729
173895,NW-M-1278-25,2025-08-29,Shallow Depth Reported,Grand Manan Vicinity Letete Passage,44.976,-66.91983,,desc,b0047_0041.npz,0.987,0.999,-0.8,-18.0,0.0,-18.0,0,True,False,98.2,99.9,0.0,69760
173934,NW-M-1285-25,2025-08-30,Shallow Depth Reported,Grand Manan Vicinity Passamaquoddy Bay,44.955,-66.93767,,desc,b0047_0041.npz,0.97,0.986,-0.1,-4.8,0.0,-4.8,0,True,False,97.5,100.0,0.0,70518
173934,NW-M-1285-25,2025-08-30,Shallow Depth Reported,Grand Manan Vicinity Passamaquoddy Bay,44.95633,-66.93617,,desc,b0047_0041.npz,0.964,0.985,-0.8,1.4,0.0,1.4,0,True,False,97.3,100.0,0.0,70599
173934,NW-M-1285-25,2025-08-30,Shallow Depth Reported,Grand Manan Vicinity Passamaquoddy Bay,44.94283,-66.95233,,desc,b0047_0041.npz,0.971,0.994,1.5,-20.7,0.0,-20.7,0,True,False,97.6,99.8,0.0,69976
173934,NW-M-1285-25,2025-08-30,Shallow Depth Reported,Grand Manan Vicinity Passamaquoddy Bay,44.94933,-66.9495,,desc,b0047_0041.npz,0.997,0.997,2.4,0.1,0.0,0.1,0,True,False,98.9,100.0,0.0,69156
173934,NW-M-1285-25,2025-08-30,Shallow Depth Reported,Grand Manan Vicinity Passamaquoddy Bay,44.95583,-66.9365,,desc,b0047_0041.npz,0.98,0.985,1.0,0.7,0.0,0.7,0,True,False,98.0,100.0,0.0,70805
173934,NW-M-1285-25,2025-08-30,Shallow Depth Reported,Grand Manan Vicinity Passamaquoddy Bay,44.93867,-66.97867,,desc,b0047_0041.npz,0.939,0.993,-0.8,-10.7,0.0,-10.7,0,True,False,96.4,99.9,0.0,65395
173935,NW-M-1286-25,2025-08-30,Shallow Depth Reported,Grand Manan Vicinity Passamaquoddy Bay,45.03,-66.87117,,desc,b0047_0041.npz,0.91,1.0,-6.6,-12.0,0.0,-12.0,0,True,False,95.7,99.9,0.0,66359
173935,NW-M-1286-25,2025-08-30,Shallow Depth Reported,Grand Manan Vicinity Passamaquoddy Bay,45.01517,-66.89483,,desc,b0047_0041.npz,1.0,1.0,6.1,2.3,0.0,2.3,0,True,False,99.3,100.0,0.0,65649
173935,NW-M-1286-25,2025-08-30,Shallow Depth Reported,Grand Manan Vicinity Passamaquoddy Bay,45.035,-66.91667,,desc,b0047_0041.npz,1.0,1.0,6.3,-1.9,0.0,-1.9,2000,True,False,99.5,100.0,0.0,55309
173935,NW-M-1286-25,2025-08-30,Shallow Depth Reported,Grand Manan Vicinity Passamaquoddy Bay,45.03317,-66.90433,,desc,b0047_0041.npz,1.0,1.0,3.1,6.3,0.0,6.3,2000,True,False,99.5,100.0,0.0,58471
173935,NW-M-1286-25,2025-08-30,Shallow Depth Reported,Grand Manan Vicinity Passamaquoddy Bay,45.03783,-66.806,,desc,b0047_0041.npz,1.0,1.0,1.3,-6.5,0.0,-6.5,1986,True,False,99.4,100.0,0.0,77630
173947,NW-M-1290-25,2025-08-31,Shallow Depth Reported,"Grand Manan Vicinity Campobello Island, NB",44.92467,-66.9655,,desc,b0047_0041.npz,0.958,0.999,9.1,-3.2,0.0,-3.2,0,True,False,97.2,100.0,0.0,71029
173947,NW-M-1290-25,2025-08-31,Shallow Depth Reported,"Grand Manan Vicinity Campobello Island, NB",44.99217,-66.933,,desc,b0047_0041.npz,1.0,1.0,3.2,-6.4,0.0,-6.4,0,True,False,99.5,100.0,0.0,62945
173947,NW-M-1290-25,2025-08-31,Shallow Depth Reported,"Grand Manan Vicinity Campobello Island, NB",44.98083,-66.9395,,desc,b0047_0041.npz,0.999,1.0,-0.4,-31.0,0.0,-31.0,0,True,True,99.1,87.9,0.0,64509
173956,NW-M-1292-25,2025-08-31,Shallow Depth Reported,"Grand Manan Vicinity Campobello Island, NB",44.93683,-66.96567,,desc,b0047_0041.npz,0.965,0.986,0.7,-2.3,0.0,-2.3,0,True,False,97.3,100.0,0.0,68607
173956,NW-M-1292-25,2025-08-31,Shallow Depth Reported,"Grand Manan Vicinity Campobello Island, NB",44.934,-66.964,,desc,b0047_0041.npz,0.983,0.995,2.5,-10.0,0.0,-10.0,0,True,False,98.0,99.9,0.0,69458
