id,series,date,category,area,lat,lon,depth_m,src,block,hazard_p,hazard_p_500m,shoal_model_m,complete_m,nearest_sounding_km,nearest_sounding_m,survey_year_500m,in_domain,map_safe,pct_hazard,pct_nearest,pct_sigma,n_safe_cells
4,NW-P-1064-08,2008-07-22,Sandspit or Sandbar Change,Fraser River,49.19403,-122.66864,,json,b0044_0020.npz,1.0,1.0,11.1,-2.1,0.0,-2.1,2010,True,False,100.0,90.7,0.0,1859
16,NW-P-0549-13,2013-05-10,Submerged Object,Sechelt Inlet - Jervis Inlet,49.51204,-123.79009,,json,b0044_0020.npz,0.853,0.988,43.4,-31.5,0.1,-68.8,1948,True,True,96.0,89.1,96.6,88739
28,NW-P-0464-14,2014-03-24,Submerged Object,Fraser River,49.18056,-122.92472,,json,b0044_0020.npz,0.976,0.998,3.9,-8.7,0.22,-8.7,2011,True,False,92.2,91.2,90.1,3448
7175,NW-P-0431-19,2019-03-17,Lights Aids Rebecca Rock LL 471,Strait of Georgia,49.81372,-124.65972,,json,b0044_0020.npz,0.054,0.255,-37.1,-16.9,0.1,-11.5,0,True,False,85.4,99.9,99.8,110553
7706,NW-P-0454-19,2019-03-21,Lights Aids Rebecca Rock LL 471,Strait of Georgia,49.81372,-124.65972,,json,b0044_0020.npz,0.054,0.255,-37.1,-16.9,0.1,-11.5,0,True,False,85.4,99.9,99.8,110553
13334,NW-P-0667-19,2019-05-14,Submerged Object,Mainland South Coast Inlets,50.12292,-124.6911,,desc,b0044_0020.npz,0.613,0.957,6.7,-15.7,0.0,-15.7,0,True,False,78.7,92.6,0.0,47467
17960,NW-P-0842-19,2019-06-17,Buoys Aids Sentry Shoals ODAS light buoy 46131 LL 509.5,Strait of Georgia,49.90667,-124.985,,json,b0044_0020.npz,0.34,0.595,-19.4,-11.1,0.0,-11.1,0,True,False,88.6,99.7,0.0,72938
17963,NW-P-0843-19,2019-06-17,Buoys Aids Sentry Shoals ODAS light buoy 46131 LL 509.5,Strait of Georgia,49.90667,-124.985,,json,b0044_0020.npz,0.34,0.595,-19.4,-11.1,0.0,-11.1,0,True,False,88.6,99.7,0.0,72938
22235,NW-P-1025-19,2019-07-25,Lights Aids Rebecca Rock LL 471.0,Strait of Georgia,49.81372,-124.65972,,json,b0044_0020.npz,0.054,0.255,-37.1,-16.9,0.1,-11.5,0,True,False,85.4,99.9,99.8,110553
22595,NW-P-1043-19,2019-07-27,Lights Aids Rebecca Rock LL 471.0,Strait of Georgia,49.81372,-124.65972,,json,b0044_0020.npz,0.054,0.255,-37.1,-16.9,0.1,-11.5,0,True,False,85.4,99.9,99.8,110553
25727,NW-P-1198-19,2019-08-24,Buoys Aids Sentry Shoals ODAS light buoy 46131 LL 509.5,Strait of Georgia,49.90667,-124.985,,json,b0044_0020.npz,0.34,0.595,-19.4,-11.1,0.0,-11.1,0,True,False,88.6,99.7,0.0,72938
26126,NW-P-1211-19,2019-08-28,Buoys Aids Sentry Shoals ODAS light buoy 46131 LL 509.5,Strait of Georgia,49.90667,-124.985,,json,b0044_0020.npz,0.34,0.595,-19.4,-11.1,0.0,-11.1,0,True,False,88.6,99.7,0.0,72938
26129,NW-P-1210-19,2019-08-28,Buoys Aids Sentry Shoals ODAS light buoy 46131 LL 509.5,Strait of Georgia,49.90667,-124.985,,json,b0044_0020.npz,0.34,0.595,-19.4,-11.1,0.0,-11.1,0,True,False,88.6,99.7,0.0,72938
26303,NW-P-1229-19,2019-08-30,Shallow Depth Reported,Fraser River,49.13,-123.21667,,desc,b0044_0020.npz,0.937,0.999,-1.8,-0.3,0.0,-0.3,2011,True,False,97.7,99.9,0.0,51269
26303,NW-P-1229-19,2019-08-30,Shallow Depth Reported,Fraser River,49.13167,-123.22,,desc,b0044_0020.npz,0.95,0.997,-0.4,,0.1,0.6,2011,True,False,97.9,99.9,0.0,52554
31625,NW-P-1436-19,2019-10-21,Buoys Aids Dorcas Rock buoy P27,Strait of Georgia,49.31939,-124.19219,,json,b0044_0020.npz,0.849,0.937,17.1,-15.7,0.0,-15.7,2009,True,False,96.9,99.8,0.0,94375
34031,NW-P-1552-19,2019-11-15,Buoys Aids Dorcas Rock buoy P27,Strait of Georgia,49.31939,-124.19219,,json,b0044_0020.npz,0.849,0.937,17.1,-15.7,0.0,-15.7,2009,True,False,96.9,99.8,0.0,94375
34130,NW-P-1562-19,2019-11-16,Submerged Object,Fraser River,49.187,-122.91533,,json,b0044_0020.npz,0.936,0.998,3.5,-13.1,0.0,-13.1,2011,True,False,84.0,89.9,0.0,3495
35852,NW-P-1677-19,2019-12-04,Submerged Object,Fraser River,49.187,-122.91533,,json,b0044_0020.npz,0.936,0.998,3.5,-13.1,0.0,-13.1,2011,True,False,84.0,89.9,0.0,3495
36458,NW-P-1736-19,2019-12-12,Lights Aids Rebecca Rock LL 471.0,Strait of Georgia,49.81369,-124.65991,,json,b0044_0020.npz,0.054,0.255,-37.1,-16.9,0.1,-11.5,0,True,False,85.4,99.9,99.8,110553
36491,NW-P-1742-19,2019-12-12,Lights Aids Rebecca Rock LL 471.0,Strait of Georgia,49.81369,-124.65991,,json,b0044_0020.npz,0.054,0.255,-37.1,-16.9,0.1,-11.5,0,True,False,85.4,99.9,99.8,110553
40940,NW-P-0345-20,2020-02-28,Submerged Object,Fraser River Vancouver Harbour,49.32048,-123.2133,,desc,b0044_0020.npz,0.001,0.05,-32.0,-50.3,0.0,-50.3,2004,True,True,70.4,89.9,0.0,66182
41612,NW-P-0400-20,2020-03-12,Submerged Object,Fraser River,49.18056,-122.92472,,json,b0044_0020.npz,0.976,0.998,3.9,-8.7,0.22,-8.7,2011,True,False,92.2,91.2,90.1,3448
41618,NW-P-0402-20,2020-03-12,Submerged Object,Fraser River,49.15922,-122.98128,,desc,b0044_0020.npz,0.999,1.0,5.3,-8.0,0.1,1.0,2011,True,False,99.3,99.6,96.9,6849
42872,NW-P-0481-20,2020-04-04,Lights Aids Hudson Rocks LL 447.0,Strait of Georgia Vicinity Nanaimo Harbour,49.22374,-123.92794,,json,b0044_0020.npz,0.878,0.952,24.0,-8.2,0.0,-8.2,1990,True,False,97.6,100.0,0.0,103025
42875,NW-P-0514-20,2020-04-04,Submerged Object,Sechelt Inlet - Jervis Inlet,49.51203,-123.79008,,desc,b0044_0020.npz,0.853,0.988,43.4,-31.5,0.1,-68.8,1948,True,True,96.0,89.1,96.6,88739
43082,NW-P-0521-20,2020-04-06,Lights Aids Hudson Rocks LL 447.0,Strait of Georgia Vicinity Nanaimo Harbour,49.22374,-123.92794,,json,b0044_0020.npz,0.878,0.952,24.0,-8.2,0.0,-8.2,1990,True,False,97.6,100.0,0.0,103025
43175,NW-P-0527-20,2020-04-08,Lights Aids Hudson Rocks LL 447.0,Strait of Georgia Vicinity Nanaimo Harbour,49.22374,-123.92794,,json,b0044_0020.npz,0.878,0.952,24.0,-8.2,0.0,-8.2,1990,True,False,97.6,100.0,0.0,103025
44834,NW-P-0607-20,2020-05-03,Lights Aids Shoal Point LL 367.0,Fraser River,49.19561,-122.91552,,json,b0044_0020.npz,0.991,1.0,11.2,-0.6,0.0,-0.6,2011,True,False,97.2,98.6,0.0,3937
44867,NW-P-0610-20,2020-05-03,Lights Aids Shoal Point LL 367.0,Fraser River,49.19561,-122.91552,,json,b0044_0020.npz,0.991,1.0,11.2,-0.6,0.0,-0.6,2011,True,False,97.2,98.6,0.0,3937
45719,NW-P-0690-20,2020-05-12,Submerged Object,Howe Sound,49.691,-123.155,,desc,b0044_0020.npz,0.862,0.944,160.4,,0.1,0.2,2011,True,False,95.7,99.7,0.0,11524
45989,NW-P-0696-20,2020-05-14,Submerged Object,Howe Sound,49.691,-123.155,,desc,b0044_0020.npz,0.862,0.944,160.4,,0.1,0.2,2011,True,False,95.7,99.7,0.0,11524
46421,NW-P-0722-20,2020-05-19,Shallow Depth Reported,Fraser River,49.13,-123.21667,,json,b0044_0020.npz,0.937,0.999,-1.8,-0.3,0.0,-0.3,2011,True,False,97.7,99.9,0.0,51269
65327,NW-P-1572-20,2020-12-04,Lights Aids Thrasher Rock light LL 433,Strait of Georgia,49.15,-123.64167,,json,b0044_0020.npz,0.921,0.962,13.3,-6.2,0.0,-6.2,1978,True,False,98.9,100.0,0.0,112830
65351,NW-P-1573-20,2020-12-04,Lights Aids Thrasher Rock light LL 433,Strait of Georgia,49.15,-123.64167,,json,b0044_0020.npz,0.921,0.962,13.3,-6.2,0.0,-6.2,1978,True,False,98.9,100.0,0.0,112830
69002,NW-P-0156-21,2021-01-31,Submerged Object,Fraser River Vancouver Harbour Vicinity Indian Arm Anchorage November (N),49.28967,-122.96717,,desc,b0044_0020.npz,0.943,0.979,11.1,-19.5,0.0,-19.5,2006,True,False,90.6,94.7,0.0,10405
69041,NW-P-0161-21,2021-02-01,Submerged Object,Fraser River Vancouver Harbour Vicinity Indian Arm Anchorage November (N),49.28967,-122.96717,,json,b0044_0020.npz,0.943,0.979,11.1,-19.5,0.0,-19.5,2006,True,False,90.6,94.7,0.0,10405
69836,NW-P-0257-21,2021-02-16,Submerged Object,Sechelt Inlet - Jervis Inlet,49.51203,-123.79008,,desc,b0044_0020.npz,0.853,0.988,43.4,-31.5,0.1,-68.8,1948,True,True,96.0,89.1,96.6,88739
75437,NW-P-0617-21,2021-05-04,Submerged Object,Fraser River Vancouver Harbour,49.2735,-123.10383,,desc,b0044_0020.npz,0.986,1.0,10.9,-0.2,0.0,-0.2,2008,True,False,98.3,99.9,0.0,38721
75449,NW-P-0620-21,2021-05-05,Submerged Object,Fraser River Vancouver Harbour,49.27417,-123.10383,,desc,b0044_0020.npz,0.986,1.0,10.9,-0.2,0.0,-0.2,2008,True,False,98.3,99.9,0.0,38721
79801,NW-P-0824-21,2021-06-24,Uncharted Rock,Strait of Georgia,49.13385,-123.78105,0.3,desc,b0044_0020.npz,0.999,0.999,49.7,4.5,0.0,4.5,1962,True,False,99.9,100.0,0.0,85537
79804,NW-P-0825-21,2021-06-24,Shallow Depth Reported,Strait of Georgia,49.13385,-123.78105,,json,b0044_0020.npz,0.999,0.999,49.7,4.5,0.0,4.5,1962,True,False,99.9,100.0,0.0,85537
89087,NW-P-1214-21,2021-09-21,Uncharted Rock,Strait of Georgia,49.13385,-123.78105,,desc,b0044_0020.npz,0.999,0.999,49.7,4.5,0.0,4.5,1962,True,False,99.9,100.0,0.0,85537
89090,NW-P-1215-21,2021-09-21,Shallow Depth Reported,Strait of Georgia,49.13385,-123.78105,,json,b0044_0020.npz,0.999,0.999,49.7,4.5,0.0,4.5,1962,True,False,99.9,100.0,0.0,85537
99683,NW-P-0244-22,2022-02-18,Submerged Object,Fraser River Vancouver Harbour,49.31292,-123.12753,,desc,b0044_0020.npz,0.96,0.997,29.3,0.2,0.0,0.2,2008,True,False,97.3,99.9,0.0,45605
100589,NW-P-0327-22,2022-03-11,Submerged Object,Fraser River Vancouver Harbour,49.31292,-123.12753,,desc,b0044_0020.npz,0.96,0.997,29.3,0.2,0.0,0.2,2008,True,False,97.3,99.9,0.0,45605
