region,lat,lon,block,score,percentile
Arctic/Hudson,71.245,-121.939,b0028_0021,0.992,100.0
Arctic/Hudson,62.619,-65.38,b0036_0041,0.989,100.0
Arctic/Hudson,71.366,-70.832,b0027_0039,0.987,100.0
Arctic/Hudson,68.761,-81.156,b0030_0035,0.983,100.0
Arctic/Hudson,62.739,-69.701,b0036_0040,0.979,100.0
Arctic/Hudson,68.207,-110.222,b0031_0025,0.976,100.0
Arctic/Hudson,63.435,-68.068,b0035_0040,0.976,100.0
Arctic/Hudson,70.362,-67.951,b0028_0040,0.974,100.0
Arctic/Hudson,65.147,-64.72,b0034_0041,0.974,100.0
Arctic/Hudson,71.203,-122.234,b0028_0021,0.973,100.0
South,54.306,-130.808,b0041_0017,0.988,100.0
South,43.35,-65.447,b0048_0041,0.985,100.0
South,45.439,-61.003,b0046_0043,0.98,100.0
South,45.477,-60.858,b0046_0043,0.979,100.0
South,55.584,-77.631,b0041_0037,0.966,100.0
South,49.538,-54.952,b0044_0045,0.946,100.0
South,47.394,-56.817,b0045_0044,0.946,100.0
South,45.338,-60.886,b0047_0043,0.942,100.0
South,45.101,-61.51,b0047_0043,0.938,100.0
South,55.448,-77.803,b0041_0037,0.929,100.0
