lon,lat,depth_m,sigma68_m,sigma95_m,kind,gated
-94.24983,58.91796,-28.2,5.0,8.9,channel,False
-94.16747,59.00086,-31.6,5.1,8.9,channel,False
-94.16747,59.08357,-36.6,5.1,9.9,channel,False
-94.16747,59.16749,-42.9,5.1,8.9,channel,False
-94.08374,59.2505,-55.8,5.1,8.9,channel,False
-94.16747,59.33331,-54.1,5.3,10.7,channel,False
-94.16747,59.41731,-61.6,5.6,11.4,channel,False
-94.16747,59.50041,-66.5,5.1,8.9,channel,False
-94.16747,59.66739,-66.9,5.1,8.9,channel,False
-94.16747,59.74987,-64.6,5.1,9.1,channel,False
-94.16747,59.83284,-74.6,5.1,8.9,channel,False
-94.16747,59.91699,-77.7,5.8,11.9,channel,False
-94.16747,60.00023,-81.6,5.1,9.6,channel,False
-94.16747,60.08326,-78.2,5.1,9.1,channel,False
-94.16747,60.16746,-67.1,5.1,8.9,channel,False
-94.08374,60.25075,-71.4,5.1,8.9,channel,False
-94.0,60.33384,-70.1,5.3,10.9,channel,False
-93.91765,60.41739,-64.3,6.9,13.5,channel,False
-93.66782,60.50073,-85.9,8.2,16.9,channel,False
-93.58409,60.50073,-91.9,5.5,11.4,channel,False
-93.50035,60.58318,-100.2,5.1,9.9,channel,False
-93.41799,60.58318,-105.1,5.1,8.9,channel,False
-93.33426,60.66744,-101.8,5.1,9.9,channel,False
-93.25053,60.75014,-95.9,5.1,9.6,channel,False
-93.16817,60.75014,-101.8,5.1,9.9,channel,False
-93.08444,60.75014,-109.0,5.1,8.9,channel,False
-93.0007,60.83329,-98.5,5.1,8.9,channel,False
-92.41869,61.08345,-104.4,5.1,9.0,channel,False
-92.33359,61.16707,-109.3,5.1,9.9,channel,False
-92.33359,61.2498,-106.4,5.1,8.9,channel,False
-92.25123,61.33297,-113.1,5.1,9.6,channel,False
-92.16887,61.41724,-117.3,5.1,8.9,channel,False
-92.00003,61.58379,-114.2,5.1,8.9,channel,False
-91.91767,61.58379,-117.4,5.1,8.9,channel,False
-91.83257,61.58379,-121.5,5.0,8.9,channel,False
-91.75021,61.58379,-127.6,4.9,8.6,channel,False
-91.66785,61.58379,-132.9,5.1,8.9,channel,False
-91.58274,61.58379,-140.8,5.1,8.9,channel,False
-91.50038,61.58379,-146.5,5.1,8.9,channel,False
-91.41802,61.58379,-147.9,5.0,8.9,channel,False
-91.33292,61.58379,-149.9,5.1,8.9,channel,False
-91.25056,61.66738,-145.4,5.1,9.0,channel,False
-91.16682,61.75075,-145.8,5.1,9.9,channel,False
-91.08309,61.75075,-145.6,7.6,14.7,channel,False
-91.00073,61.75075,-147.8,5.7,11.8,channel,False
-90.917,61.75075,-147.1,5.1,9.9,channel,False
-90.83327,61.75075,-143.0,5.1,8.9,channel,False
-90.75091,61.75075,-138.5,5.1,9.4,channel,False
-90.66717,61.75075,-130.8,5.1,8.9,channel,False
-90.58344,61.83324,-142.0,5.1,8.9,channel,False
-90.50108,61.83324,-141.1,5.1,9.4,channel,False
-90.41735,61.83324,-136.4,5.1,9.9,channel,False
-90.33362,61.83324,-133.1,5.1,9.6,channel,False
-90.25126,61.83324,-132.2,6.0,13.4,channel,False
-90.08379,61.83324,-129.1,5.1,8.9,channel,False
-90.00143,61.83324,-127.8,5.1,8.9,channel,False
-89.9177,61.83324,-125.6,5.1,9.7,channel,False
-89.83397,61.83324,-124.2,5.2,10.2,channel,False
-89.75161,61.83324,-124.4,5.5,11.2,channel,False
-89.66787,61.83324,-131.8,6.2,13.4,channel,False
-89.58414,61.91746,-136.6,5.5,11.4,channel,False
-89.50178,61.91746,-150.5,5.2,10.3,channel,False
-89.41805,61.91746,-157.8,5.5,11.3,channel,False
-89.33294,61.91746,-155.6,5.0,8.9,channel,False
-89.25058,61.91746,-155.9,5.0,8.8,channel,False
-89.16685,61.91746,-156.5,4.9,8.7,channel,False
-89.08312,61.91746,-157.4,5.0,8.8,channel,False
-89.00076,61.91746,-155.2,4.9,8.6,channel,False
-88.75093,61.91746,-148.4,5.1,8.9,channel,False
-88.6672,61.91746,-147.1,5.1,8.9,channel,False
-88.58347,61.91746,-147.6,5.1,8.9,channel,False
-88.50111,61.91746,-147.9,5.1,8.9,channel,False
-88.41738,61.91746,-151.9,5.1,8.9,channel,False
-88.33364,61.91746,-155.8,5.1,8.9,channel,False
-88.24991,61.91746,-158.1,5.0,8.8,channel,False
-88.08382,61.91746,-158.5,4.9,8.7,channel,False
-88.00009,61.91746,-161.5,4.9,8.5,channel,False
-87.91773,61.91746,-163.6,5.1,8.9,channel,False
-87.83399,61.91746,-171.9,5.1,9.0,channel,False
-87.75026,61.91746,-170.1,4.9,8.7,channel,False
-87.6679,61.91746,-169.5,5.0,8.9,channel,False
-87.58417,61.91746,-169.4,5.0,8.9,channel,False
-87.50044,61.91746,-164.2,5.1,9.9,channel,False
-87.41808,61.91746,-161.6,5.1,9.9,channel,False
-87.33434,61.91746,-160.8,5.1,8.9,channel,False
-87.25061,61.91746,-155.4,5.1,8.9,channel,False
-87.16825,61.91746,-153.8,5.1,8.9,channel,False
-87.08452,61.91746,-157.6,5.1,9.9,channel,False
-87.00079,61.91746,-161.5,5.6,11.4,channel,False
-86.91843,61.91746,-161.5,5.1,9.0,channel,False
-86.83469,61.91746,-157.6,5.0,8.9,channel,False
-86.6686,61.91746,-162.4,5.0,8.9,channel,False
-86.5835,61.91746,-165.4,5.0,8.9,channel,False
-86.4174,61.91746,-167.9,4.9,8.7,channel,False
-86.16758,61.91746,-173.6,5.0,8.9,channel,False
-86.08385,61.91746,-173.6,5.0,8.9,channel,False
-86.00011,61.91746,-171.5,5.1,8.9,channel,False
-85.91775,61.91746,-172.4,5.1,8.9,channel,False
-85.83402,61.91746,-168.1,5.0,8.9,channel,False
-85.66793,61.91746,-165.9,5.1,8.9,channel,False
-85.5842,61.91746,-164.2,5.0,8.9,channel,False
-85.50046,61.91746,-164.6,5.0,8.9,channel,False
-85.4181,61.91746,-167.9,5.0,8.9,channel,False
-85.333,61.91746,-167.8,5.0,8.8,channel,False
-85.25064,61.91746,-166.6,4.9,8.6,channel,False
-85.16828,61.91746,-166.2,4.9,8.7,channel,False
-85.08317,61.91746,-165.9,5.0,8.9,channel,False
-85.00081,61.91746,-165.4,5.0,8.8,channel,False
-84.91845,61.91746,-165.5,5.0,8.8,channel,False
-84.83335,61.91746,-163.0,5.0,8.9,channel,False
-84.75099,61.91746,-160.9,5.0,8.9,channel,False
-84.66863,61.91746,-158.9,5.0,8.8,channel,False
-84.58352,61.91746,-158.0,5.0,8.9,channel,False
-84.50116,61.91746,-157.0,5.1,8.9,channel,False
-84.41743,61.91746,-155.9,5.1,8.9,channel,False
-84.3337,61.91746,-151.2,5.1,8.9,channel,False
-84.25134,61.91746,-151.0,5.1,8.9,channel,False
-84.16761,61.91746,-151.5,5.1,8.9,channel,False
-84.08387,61.91746,-148.4,5.1,9.1,channel,False
-84.00151,61.91746,-146.5,5.1,9.5,channel,False
-83.91778,61.91746,-145.0,5.1,9.8,channel,False
-83.83268,61.91746,-144.1,5.1,8.9,channel,False
-83.75032,61.91746,-141.6,5.1,8.9,channel,False
-83.66658,61.91746,-142.1,5.1,9.0,channel,False
-83.58285,61.91746,-143.6,5.1,9.9,channel,False
-83.50049,61.91746,-131.2,5.0,8.9,channel,False
-83.41676,61.91746,-109.0,5.0,8.9,channel,False
-83.33303,61.91746,-82.9,5.0,8.9,channel,False
-83.25067,61.91746,-101.2,5.0,8.9,channel,False
-83.16693,61.91746,-134.5,4.9,8.8,channel,False
-83.0832,61.91746,-149.9,5.0,8.9,channel,False
-83.00084,61.91746,-157.8,5.1,8.9,channel,False
-82.91711,61.91746,-169.2,5.1,8.9,channel,False
-82.83338,62.00015,-133.0,5.1,9.9,channel,False
-82.66728,62.00015,-175.6,5.1,9.2,channel,False
-82.58355,62.00015,-182.8,5.1,8.9,channel,False
-82.50119,62.00015,-188.6,4.9,7.9,channel,False
-82.41746,62.00015,-194.9,4.9,8.5,channel,False
-82.25137,62.00015,-220.4,6.8,13.5,channel,False
-82.16763,62.08326,-223.1,14.0,19.6,channel,False
-82.0839,62.08326,-219.6,5.1,9.9,channel,False
-82.00154,62.08326,-211.9,5.0,8.9,channel,False
-81.91781,62.16743,-191.4,10.9,19.6,channel,False
-81.83408,62.16743,-219.6,13.7,19.6,channel,False
-81.75172,62.25008,-181.2,5.1,9.0,channel,False
-81.66798,62.25008,-201.4,5.1,9.9,channel,False
-81.58425,62.25008,-213.6,5.1,8.9,channel,False
-81.50052,62.33315,-187.6,8.2,16.9,channel,False
-81.41816,62.33315,-206.0,5.1,8.9,channel,False
-81.33443,62.41726,-178.0,5.1,9.5,channel,False
-81.25069,62.41726,-192.9,5.1,8.9,channel,False
-81.16833,62.41726,-195.5,5.0,8.9,channel,False
-81.08325,62.41743,-192.9,4.8,7.0,channel,False
-80.99955,62.41743,-193.9,5.0,8.9,channel,False
-80.91724,62.41743,-191.0,5.1,8.9,channel,False
-80.83355,62.49999,-189.2,4.9,8.8,channel,False
-80.74985,62.49999,-185.6,5.1,8.9,channel,False
-80.66754,62.49999,-181.0,5.6,11.5,channel,False
-80.58385,62.49999,-178.6,5.1,8.9,channel,False
-80.50015,62.49999,-183.8,4.9,8.3,channel,False
-80.41784,62.58296,-217.6,5.1,9.6,channel,False
-80.33277,62.58296,-219.0,5.1,9.9,channel,False
-80.25045,62.58296,-222.0,5.1,9.9,channel,False
-80.16814,62.66696,-248.1,5.1,9.9,channel,False
-80.08307,62.66696,-256.0,5.1,8.9,channel,False
-79.91706,62.75009,-291.2,5.4,11.1,channel,False
-79.83337,62.75009,-302.8,5.6,11.4,channel,True
-79.75105,62.75009,-312.5,5.1,8.9,channel,True
-79.66736,62.75009,-317.2,5.4,11.1,channel,True
-79.58367,62.75009,-320.2,7.6,14.0,channel,True
-79.50135,62.75009,-324.8,5.1,9.1,channel,True
-79.41766,62.75009,-296.8,10.7,19.6,channel,True
-79.33397,62.75009,-296.2,12.0,19.6,channel,True
-79.25028,62.75009,-338.5,6.0,12.6,channel,True
-79.16796,62.75009,-349.8,5.1,9.9,channel,True
-78.91826,62.75009,-393.5,6.0,12.9,channel,True
-78.00022,62.75008,-412.0,6.3,15.0,channel,True
-76.66737,62.66691,-382.0,5.0,8.8,channel,True
-76.50127,62.66691,-384.8,4.8,7.0,channel,True
-76.41754,62.66691,-372.5,5.1,8.9,channel,True
-76.33381,62.66691,-359.0,5.1,9.6,channel,True
-76.25145,62.66691,-348.0,5.6,11.4,channel,True
-76.16772,62.66691,-313.8,10.8,19.6,channel,True
-76.08398,62.66691,-317.2,8.2,16.9,channel,True
-76.00162,62.66691,-290.2,10.4,19.6,channel,True
-75.91789,62.66691,-297.2,7.9,16.3,channel,False
-75.83416,62.66691,-289.5,4.9,8.7,channel,False
-75.7518,62.66691,-268.5,5.1,8.9,channel,False
-75.66807,62.58287,-235.8,5.1,8.9,channel,False
-75.5006,62.58287,-211.4,5.1,9.9,channel,False
-75.41687,62.58287,-207.2,5.1,8.9,channel,False
-75.33314,62.58287,-203.5,5.1,9.0,channel,False
-75.25078,62.58287,-198.5,5.3,10.9,channel,False
-75.16704,62.58287,-186.2,5.1,10.1,channel,False
-75.08331,62.58287,-176.8,5.9,12.2,channel,False
-75.00095,62.58287,-166.8,5.1,9.6,channel,False
-74.91722,62.58287,-161.5,5.1,8.9,channel,False
-74.83349,62.58287,-156.5,5.0,8.9,channel,False
-74.75113,62.58287,-128.2,11.7,19.6,channel,False
-74.66739,62.58287,-95.4,11.4,19.6,channel,False
-74.58366,62.58287,-65.9,10.7,19.6,channel,False
-74.49993,62.58287,-59.0,7.8,16.1,channel,False
-74.41757,62.58287,-40.8,8.2,16.9,channel,False
-74.33384,62.58287,-28.8,7.6,13.8,channel,False
-74.2501,62.58287,-21.1,6.5,13.4,channel,False
-74.16774,62.58287,-15.1,8.2,16.9,channel,False
-74.08401,62.58287,-14.9,8.2,17.5,channel,False
-74.00028,62.58287,-26.5,10.4,19.6,channel,False
-73.91792,62.58287,-66.8,14.0,19.6,channel,False
-73.83419,62.58287,-103.9,11.8,19.6,channel,False
-73.75045,62.58287,-134.5,8.8,18.2,channel,False
-73.66809,62.58287,-156.9,7.8,16.0,channel,False
-73.58436,62.58287,-175.2,7.7,15.9,channel,False
-73.50063,62.58287,-188.8,5.1,9.7,channel,False
-73.41827,62.58287,-202.2,5.0,8.9,channel,False
-73.2508,62.58287,-233.4,5.1,8.9,channel,False
-73.16844,62.58287,-255.8,5.1,8.9,channel,False
-72.83351,62.58287,-325.0,4.9,8.5,channel,True
-72.4176,62.58287,-359.2,4.9,8.6,channel,True
-72.33386,62.58287,-354.8,5.1,8.9,channel,True
-72.08404,62.58287,-339.0,5.1,8.9,channel,True
-72.0003,62.58287,-316.8,5.3,10.6,channel,True
-71.91795,62.58287,-317.2,5.0,8.9,channel,True
-71.83421,62.58287,-293.5,5.1,8.9,channel,True
-71.58301,62.49986,-318.0,4.8,7.0,channel,True
-71.50065,62.49986,-323.5,4.9,8.6,channel,True
-71.4183,62.49986,-326.8,5.0,8.8,channel,True
-71.25083,62.49986,-329.2,5.1,8.9,channel,True
-71.16847,62.49986,-331.5,5.1,9.9,channel,True
-70.75118,62.41726,-333.5,6.0,13.0,channel,True
-70.66745,62.41726,-328.2,8.2,17.2,channel,True
-70.41762,62.33315,-319.5,5.0,8.9,channel,True
-70.33389,62.33315,-290.2,7.5,13.7,channel,True
-70.25153,62.33315,-285.8,7.6,13.9,channel,False
-70.1678,62.33315,-261.0,5.1,8.9,channel,False
-70.08269,62.33315,-247.9,5.1,9.9,channel,False
-69.75051,62.25008,-227.9,6.7,13.5,channel,False
-69.66677,62.25008,-225.8,5.7,11.7,channel,False
-69.58304,62.25008,-224.6,8.2,17.2,channel,False
-69.25086,62.16743,-235.1,5.0,8.9,channel,False
-69.16712,62.16743,-234.1,5.1,8.9,channel,False
-69.08339,62.16743,-217.8,8.2,16.9,channel,False
-68.9173,62.16743,-188.0,8.2,16.9,channel,False
-68.75121,62.16743,-171.4,8.2,17.2,channel,False
-68.66747,62.16743,-151.2,8.1,16.8,channel,False
-68.58374,62.08326,-185.8,5.1,8.9,channel,False
-68.41765,62.08326,-167.9,7.6,14.2,channel,False
-68.33392,62.08326,-151.9,10.1,19.5,channel,False
-68.25156,62.08326,-140.8,5.1,8.9,channel,False
-67.918,62.00015,-167.5,7.6,14.4,channel,False
-67.83427,62.00015,-154.5,8.2,17.0,channel,False
-67.75053,62.00015,-142.5,8.2,16.9,channel,False
-67.66817,62.00015,-134.5,8.2,16.9,channel,False
-67.58444,62.00015,-124.8,10.4,19.6,channel,False
-67.24959,61.91724,-163.5,5.2,10.4,channel,False
-67.16727,61.91724,-151.0,13.5,19.6,channel,False
-67.08358,61.91724,-126.9,8.0,16.5,channel,False
-66.99989,61.91724,-110.9,8.2,16.9,channel,False
-66.91757,61.91724,-96.4,9.5,18.9,channel,False
-66.83388,61.91724,-94.5,13.5,19.6,channel,False
-66.75019,61.91724,-114.7,9.1,18.5,channel,False
-66.66787,61.91724,-81.4,9.8,19.2,channel,False
-66.5828,61.91724,-13.8,12.2,19.6,channel,False
-65.91739,62.00053,-59.4,14.0,19.6,channel,False
-65.8337,62.00053,-132.5,14.0,19.6,channel,False
