lat,lon,p_peak,cells,hazard_mass,predicted_shoal_m,mean_map_depth_m,km_to_sounding,region,km_to_region_ref,block
69.46081,-131.60416,0.999,82,80.2,0.4,-22.1,0.6,Beaufort Sea,148.0,b0029_0017
69.47142,-131.80594,0.999,23,22.8,1.0,-40.3,0.2,Beaufort Sea,143.0,b0029_0017
69.48009,-131.77849,0.998,17,16.7,-0.2,-44.0,0.0,Beaufort Sea,142.0,b0029_0017
69.45455,-131.91713,0.999,14,13.6,0.9,-28.0,0.4,Beaufort Sea,142.0,b0029_0017
54.11699,-132.37971,0.996,13,11.8,-0.6,-26.1,0.3,Hecate Strait,113.0,b0042_0017
69.45551,-131.91438,0.997,10,9.9,0.9,-26.0,0.3,Beaufort Sea,142.0,b0029_0017
69.48972,-131.46964,0.99,267,253.6,0.8,-24.8,0.7,Beaufort Sea,149.0,b0029_0017
54.2063,-131.65769,0.99,9,8.4,-0.3,-54.2,0.0,Hecate Strait,89.0,b0041_0017
54.12182,-132.34128,0.992,9,8.1,0.2,-29.2,0.3,Hecate Strait,111.0,b0042_0017
64.0151,-94.46671,0.979,243,219.3,0.1,-23.9,0.1,Chesterfield Inlet,55.0,b0034_0031
64.06683,-94.63006,0.977,128,111.8,-1.3,-28.8,0.1,Chesterfield Inlet,64.0,b0034_0031
51.60905,-55.97719,0.982,25,22.4,-1.6,-27.8,0.2,Strait of Belle Isle,38.0,b0043_0045
51.5971,-56.00601,0.977,23,20.7,0.0,-31.2,0.1,Strait of Belle Isle,36.0,b0043_0045
69.39708,-94.2663,0.976,13,12.0,0.7,-27.7,0.8,Rae Strait / King William Is.,64.0,b0029_0031
64.19155,-94.7989,0.976,5,4.8,0.9,-29.4,0.1,Chesterfield Inlet,78.0,b0034_0031
51.41662,-56.51253,0.976,4,3.6,-0.3,-38.7,0.1,Strait of Belle Isle,9.0,b0043_0044
54.12021,-132.34952,0.978,3,2.8,-2.0,-27.7,0.1,Hecate Strait,112.0,b0042_0017
68.47056,-100.33348,0.973,61,52.3,-2.5,-21.6,0.6,Queen Maud Gulf,68.0,b0030_0028
68.47712,-82.51629,0.967,24,21.6,0.5,-29.4,0.1,unnamed water near 68.5N 82.5W,262.0,b0030_0035
68.81438,-81.22324,0.968,19,16.7,-1.2,-27.5,0.0,unnamed water near 68.8N 81.2W,272.0,b0030_0035
51.40976,-56.53037,0.972,8,7.5,-3.4,-28.9,0.1,Strait of Belle Isle,10.0,b0043_0044
50.25109,-64.15141,0.971,6,5.4,-1.2,-33.8,0.1,unnamed water near 50.3N 64.2W,327.0,b0044_0042
46.4924,-61.10821,0.967,6,5.3,0.7,-29.6,0.1,Gulf of St. Lawrence,154.0,b0046_0043
64.19514,-94.79341,0.97,5,4.7,1.0,-26.0,0.1,Chesterfield Inlet,77.0,b0034_0031
54.10974,-132.43737,0.975,4,3.6,0.7,-29.2,0.0,Hecate Strait,115.0,b0042_0017
50.89344,-57.26063,0.96,217,193.8,0.2,-30.2,0.5,Strait of Belle Isle,86.0,b0043_0044
50.19482,-63.36212,0.964,62,55.4,0.6,-32.4,0.2,unnamed water near 50.2N 63.4W,305.0,b0044_0042
46.48388,-61.11233,0.964,19,16.9,0.0,-26.9,0.0,Gulf of St. Lawrence,155.0,b0046_0043
68.39125,-82.39687,0.956,19,16.2,0.3,-34.6,0.0,unnamed water near 68.4N 82.4W,252.0,b0031_0035
49.94609,-57.84264,0.956,12,10.7,-0.2,-24.5,0.7,Strait of Belle Isle,197.0,b0044_0044
69.39708,-94.24708,0.958,11,9.9,-0.1,-26.5,0.4,Rae Strait / King William Is.,64.0,b0029_0031
44.05203,-59.66554,0.961,11,9.7,0.9,-41.0,0.1,Scotian Shelf,186.0,b0047_0043
43.3876,-65.78213,0.965,10,9.0,-3.7,-30.6,0.1,Bay of Fundy,180.0,b0047_0041
71.46725,-121.63175,0.963,10,8.8,-3.9,-26.0,0.1,Amundsen Gulf,108.0,b0027_0021
68.42867,-82.16489,0.958,3,2.7,-3.2,-25.6,0.0,unnamed water near 68.4N 82.2W,250.0,b0030_0035
64.07584,-94.63006,0.948,31,26.2,-0.4,-31.7,0.1,Chesterfield Inlet,65.0,b0034_0031
51.44575,-57.3677,0.949,20,17.7,0.5,-31.7,0.1,Strait of Belle Isle,60.0,b0043_0044
74.72643,-91.20251,0.952,17,15.0,-0.3,-35.9,0.0,unnamed water near 74.7N 91.2W,222.0,b0023_0032
50.24143,-63.10406,0.946,10,8.9,0.6,-33.7,0.0,unnamed water near 50.2N 63.1W,307.0,b0044_0042
74.72969,-91.208,0.946,5,4.5,0.9,-36.8,0.2,unnamed water near 74.7N 91.2W,222.0,b0023_0032
