lat,lon,p_peak,cells,hazard_mass,predicted_shoal_m,mean_map_depth_m,km_to_sounding,coast_km,region,km_to_region_ref,block
68.42867,-82.16489,0.998,19,15.4,-3.2,-25.6,0.0,3.2,unnamed water near 68.4N 82.2W,250,b0030_0035
47.47857,-70.10465,0.996,8,7.2,-3.6,-27.4,0.0,6.14,St. Lawrence estuary,190,b0045_0040
47.47486,-70.10877,0.996,7,6.2,-4.1,-25.7,0.0,6.17,St. Lawrence estuary,190,b0045_0040
69.40771,-124.12863,0.989,30,23.5,-4.5,-21.1,0.7,5.52,Amundsen Gulf,147,b0029_0020
45.6842,-61.62021,0.983,7,6.0,-5.6,-23.7,0.0,2.61,Cape Breton / Sydney Bight,137,b0046_0043
68.54659,-99.86128,0.966,12,11.0,-4.3,-31.1,0.0,21.65,Queen Maud Gulf,88,b0030_0029
68.4221,-82.15528,0.969,7,6.0,-6.0,-28.3,0.0,3.82,unnamed water near 68.4N 82.2W,249,b0030_0035
48.10176,-65.92626,0.965,14,11.1,-3.3,-21.8,0.1,6.86,unnamed water near 48.1N 65.9W,206,b0045_0041
49.38217,-126.38391,0.96,8,6.6,-3.0,-23.1,0.0,2.2,Vancouver Island west coast,46,b0044_0019
49.38217,-126.38117,0.951,15,12.6,-3.4,-23.1,0.0,2.19,Vancouver Island west coast,47,b0044_0019
68.90656,-94.68771,0.937,73,56.8,-5.5,-26.7,0.0,7.44,Rae Strait / King William Is.,55,b0030_0031
64.06262,-83.48951,0.942,66,50.9,-3.2,-21.2,0.1,3.93,Foxe Channel,153,b0034_0035
44.05598,-59.65593,0.937,28,20.1,-3.2,-30.8,0.1,6.98,Scotian Shelf,187,b0047_0043
58.7715,-66.13903,0.938,5,4.0,-3.6,-51.9,0.0,2.56,Ungava Bay,113,b0038_0041
71.61215,-119.04565,0.929,53,45.8,-3.9,-21.5,0.6,2.52,Amundsen Gulf,161,b0027_0022
68.42513,-98.62177,0.932,16,14.4,-4.5,-21.7,0.1,3.08,Simpson Strait,68,b0030_0029
46.49051,-61.12194,0.931,7,5.5,-3.8,-31.3,0.1,3.32,Cape Breton / Sydney Bight,63,b0046_0043
50.2256,-64.18847,0.915,32,23.7,-4.0,-47.0,0.3,3.18,Mingan / Quebec North Shore,49,b0044_0042
58.76865,-66.1404,0.922,6,5.1,-3.6,-41.9,0.1,2.29,Ungava Bay,113,b0038_0041
68.39884,-95.78859,0.907,118,86.8,-4.9,-21.7,0.9,5.08,Simpson Strait,53,b0031_0030
46.48388,-61.11507,0.906,19,14.4,-3.8,-32.0,0.1,2.45,Cape Breton / Sydney Bight,62,b0046_0043
48.10268,-65.92214,0.911,5,3.7,-5.0,-27.9,0.1,6.65,unnamed water near 48.1N 65.9W,206,b0045_0041
68.08761,-98.75217,0.896,29,20.8,-3.9,-22.4,0.3,2.81,Simpson Strait,90,b0031_0029
68.77561,-100.63409,0.898,13,11.4,-3.1,-23.6,0.1,2.3,Queen Maud Gulf,69,b0030_0028
59.25963,-69.19321,0.896,11,9.6,-3.5,-21.3,0.3,2.51,Ungava Bay,100,b0038_0040
68.85159,-94.66849,0.895,5,4.4,-5.1,-21.3,1.3,5.32,Rae Strait / King William Is.,60,b0030_0031
68.58224,-99.86952,0.887,42,31.0,-5.2,-21.6,0.5,19.78,Queen Maud Gulf,89,b0030_0029
62.21295,-74.7827,0.886,17,12.6,-3.4,-34.8,0.0,2.18,unnamed water near 62.2N 74.8W,226,b0036_0038
47.63252,-70.04563,0.887,6,4.5,-3.2,-29.7,0.0,4.47,St. Lawrence estuary,174,b0045_0040
72.1025,-90.04124,0.884,159,115.0,-3.4,-25.0,0.0,3.23,Bellot Strait,64,b0027_0032
68.77312,-100.63272,0.884,7,6.1,-3.2,-22.4,0.2,2.29,Queen Maud Gulf,69,b0030_0028
71.54614,-93.28485,0.872,268,188.1,-3.2,-33.0,0.0,4.02,Bellot Strait,70,b0027_0031
68.51591,-99.46458,0.866,123,86.7,-6.6,-21.8,0.6,8.93,Simpson Strait,100,b0030_0029
71.7766,-93.91902,0.867,120,83.6,-6.1,-24.0,0.0,2.4,Bellot Strait,74,b0027_0031
68.44584,-99.99169,0.868,23,17.0,-6.3,-21.4,0.4,8.33,Queen Maud Gulf,82,b0030_0029
46.47253,-61.13017,0.87,8,6.3,-5.0,-25.4,0.0,2.95,Cape Breton / Sydney Bight,64,b0046_0043
71.40425,-93.10777,0.86,65,47.5,-3.1,-22.2,0.3,2.05,Bellot Strait,79,b0027_0031
71.77617,-93.95608,0.856,67,47.4,-3.9,-21.8,1.2,2.0,Bellot Strait,76,b0027_0031
68.55211,-75.83279,0.86,58,40.5,-5.9,-26.5,0.0,17.83,unnamed water near 68.6N 75.8W,262,b0030_0037
68.31018,-66.2453,0.862,17,12.3,-3.2,-23.6,0.4,2.63,unnamed water near 68.3N 66.2W,268,b0031_0041
